so_NAME	so_SHORTNAME	so_PID	so_productWave	so_colorWave	so_allTWave	so_ratioWave	so_keyW
Basigin	BSG	P35613	18.0227333624717	3	1.010942e-12	65.22982135864821	724
Integrin beta-1	ITGB1	P05556	15.99250039313455	3	2.9349423e-10	88.04079465425542	358
4F2 cell-surface antigen heavy chain	SLC3A2	P08195	15.59563746062949	3	4.3602955e-10	75.33003723862645	391
HLA class I histocompatibility antigen, Cw-7 alpha chain	HLA-C	P10321	15.37794233821351	3	2.4166705e-10	54.2352960205685	437
Guanine nucleotide-binding protein G(i) subunit alpha-2	GNAI2	P04899;P09471;P19087;A8MTJ3;P11488	14.96584302368784	3	1.9636261e-10	38.2901503262357	345
Solute carrier family 2, facilitated glucose transporter member 1	SLC2A1	P11166	14.62943705979788	3	4.6199894e-10	39.23524870535508	450
CD44 antigen	CD44	P16070	14.60642026097181	3	3.341866e-10	35.02732681113905	511
Annexin A2;Putative annexin A2-like protein	ANXA2;ANXA2P2	P07355;A6NMY6	13.57040416226021	3	9.1408126e-09	46.25025279320867	377
Transferrin receptor protein 1;Transferrin receptor protein 1, serum form	TFRC	P02786;Q9UP52	13.52873513786801	3	1.2409468e-08	49.26490860894264	325
Tubulin beta chain	TUBB	P07437;A6NNZ2;Q9H4B7	13.12358504640944	3	4.0958899e-12	3.330949779881762	379
Cofilin-1	CFL1	P23528	13.09397392691918	3	7.7235185e-10	15.79930730861987	594
Brain acid soluble protein 1	BASP1	P80723	13.0489739893524	3	6.4928099e-07	116.2757757905593	1090
Sodium/potassium-transporting ATPase subunit alpha-1	ATP1A1	P05023;P13637;P50993;Q13733;P20648	13.04330942671022	3	1.1719896e-08	34.58880765542828	348
Calreticulin	CALR	P27797	12.82194346753705	3	5.8597127e-08	48.16187372546374	631
HLA class I histocompatibility antigen, A-3 alpha chain	HLA-A	P04439	12.49735010639352	3	3.4754017e-08	32.86215625630042	338
Tubulin alpha-1B chain	TUBA1B	P68363;A6NHL2;Q9H853	12.29129649506105	3	1.9003566e-11	2.969318379190023	1073
Endoplasmin	HSP90B1	P14625;Q58FF3	12.18485769960131	3	1.2304636e-08	19.35891936136569	494
Large neutral amino acids transporter small subunit 1	SLC7A5	Q01650;Q9UM01	12.17094164489519	3	1.0999084e-07	37.0730320893551	1125
Lysosome-associated membrane glycoprotein 1	LAMP1	P11279	11.69863901338407	3	9.3883816e-09	12.73943561959526	456
Cell surface glycoprotein MUC18	MCAM	P43121	11.52723891138907	3	1.1623757e-07	24.12715043311279	785
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	DDOST	P39656	11.50887574129387	3	2.4108781e-08	14.83621512285513	749
Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain	ITGA5	P08648	11.48114006567229	3	1.5394379e-07	25.43075272230601	402
Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain	ITGAV	P06756	11.2684008524684	3	8.7582485e-08	18.51750725395989	369
Moesin	MSN	P26038	11.25146481244489	3	3.7315064e-07	28.31214141277734	614
Catenin alpha-1	CTNNA1	P35221;Q9UI47	11.09189969919851	3	1.2214569e-07	18.11079534050188	706
Plectin	PLEC	Q15149	11.07806654483417	3	2.3798992e-07	21.92682964229742	1365
ATP synthase subunit beta, mitochondrial	ATP5B	P06576	10.98520530754774	3	1.604406e-08	9.129396329977657	363
Calnexin	CANX	P27824	10.97044745931143	3	1.3002034e-06	33.92927615733989	633
Junction plakoglobin	JUP	P14923	10.9545156009627	3	3.9124643e-07	23.37616270413225	500
ATP synthase subunit alpha, mitochondrial	ATP5A1	P25705	10.78630590890509	3	5.8290972e-08	11.72817854831851	608
Protein disulfide-isomerase	P4HB	P07237	10.6330865637658	3	1.472346e-06	27.87879541858016	375
60 kDa heat shock protein, mitochondrial	HSPD1	P10809	10.61525287596631	3	2.0621319e-07	15.23765666410539	444
Serpin H1	SERPINH1	P50454	10.60149117299091	3	6.0059127e-09	5.205619745760058	860
Neutral amino acid transporter B(0)	SLC1A5	Q15758	10.53868986787103	3	1.4240687e-06	25.85230374687885	1402
Neutral alpha-glucosidase AB	GANAB	Q14697	10.49127686049793	3	1.1874231e-06	23.68468082941009	1328
Neuroblast differentiation-associated protein AHNAK	AHNAK	Q09666	10.4405959671491	3	1.4670187e-05	48.73991012577	1188
Unconventional myosin-Ic	MYO1C	O00159	10.34201364414187	3	1.949534e-07	12.39721766517149	23
Protein disulfide-isomerase A3	PDIA3	P30101	10.28127285709436	3	4.7597596e-06	31.1003299690043	658
78 kDa glucose-regulated protein	HSPA5	P11021	10.23101450258995	3	2.805333e-08	6.404112808607896	446
Protein disulfide-isomerase A6	PDIA6	Q15084	10.10525501115576	3	1.6287865e-07	9.966721430578382	1361
