so_NAME	so_SHORTNAME	so_PID	so_productWave	so_colorWave	so_allTWave	so_ratioWave	so_keyW
Tumor protein D54	TPD52L2	O43399	13.92199205505438	3	2.5359732e-06	320.9348878759121	131
Tumor protein D52	TPD52	P55327	13.64901457549077	3	3.5981742e-07	147.5537548930657	938
Secretory carrier-associated membrane protein 3	SCAMP3	O14828	12.50591531295009	3	2.2001942e-07	57.61515425710073	71
Lysosome-associated membrane glycoprotein 1	LAMP1	P11279	12.19982712801531	3	1.6103661e-08	21.21115926773728	456
Ras-related protein Rab-1B	RAB1B	Q9H0U4;Q92928	11.18994035277261	3	3.3683608e-07	26.30671072060715	2048
EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3	O43854	11.05674573936349	3	6.2055483e-07	28.83053416468941	153
Ras-related protein Rab-14	RAB14	P61106	10.8603636685044	3	1.9096218e-07	17.64650873007416	973
Myoferlin	MYOF	Q9NZM1;O75923	10.85748852798521	3	9.1430195e-08	14.10933550460166	2213
Transferrin receptor protein 1;Transferrin receptor protein 1, serum form	TFRC	P02786;Q9UP52	10.55781962233741	3	1.1196743e-05	48.73584786518082	325
Bone marrow stromal antigen 2	BST2	Q10589	10.45382027894404	3	8.6398938e-07	20.9710683908764	1192
Ras-related protein Rab-6A;Ras-related protein Rab-6B	RAB6A	P20340;Q9NRW1	10.31734121190138	3	2.9055955e-05	54.9701530153834	2511
Brain acid soluble protein 1	BASP1	P80723	10.24302009449634	3	0.001633127	175.5867221554977	1090
4F2 cell-surface antigen heavy chain	SLC3A2	P08195	10.20720575067551	3	7.1195071e-05	66.7018857901172	391
Neuroblast differentiation-associated protein AHNAK	AHNAK	Q09666	9.910099625694135	3	0.00021203027	75.40025625395852	1188
Basigin	BSG	P35613	9.665432683762766	3	7.2995703e-05	46.16508206800134	724
Ras-related protein Rab-5C	RAB5C	P51148	9.463402705728187	3	1.797561e-06	13.15998737847222	873
Ras-related protein Rab-11A;Ras-related protein Rab-11B	RAB11B	P62491;Q15907	9.356281168542036	3	3.1417765e-06	14.45459603689795	2617
Ras-related protein Rab-10	RAB10	P61026	9.301185229530125	3	1.2417178e-06	10.52105869884355	970
Integrin beta-1	ITGB1	P05556	9.28211659373056	3	0.00050242653	63.25857044312355	358
Ras-related protein Rab-8A	RAB8A	P61006	9.127475444559934	3	3.7848204e-07	6.522933012350358	966
Large neutral amino acids transporter small subunit 1	SLC7A5	Q01650;Q9UM01	9.089038027676537	3	0.0003242135	48.49853103632191	1125
Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form	GALNT2	Q10471;Q8N428;Q96FL9	8.833144358032154	3	3.9358142e-06	10.7642728263803	1189
DnaJ homolog subfamily C member 5	DNAJC5	Q9H3Z4	8.66185543475933	3	0.00030693077	35.47906179342593	2709
Solute carrier family 2, facilitated glucose transporter member 1	SLC2A1	P11166	8.657551165592373	3	0.00032876033	36.11260242962927	450
Ras-related protein Rab-7a	RAB7A	P51149	8.638990991945272	3	5.6930262e-06	10.514686655177	874
HLA class I histocompatibility antigen, Cw-7 alpha chain	HLA-C	P10321	8.490417490623262	3	0.0016316652	52.09411429423175	437
Synaptogyrin-2	SYNGR2	O43760	8.443598811855759	3	0.0003778844	32.46825114548397	146
Calreticulin	CALR	P27797	8.397128037138632	3	0.0011698767	44.1783633241273	631
Annexin A2;Putative annexin A2-like protein	ANXA2;ANXA2P2	P07355;A6NMY6	8.235817633454605	3	0.0018795248	45.56536513728484	377
Protein disulfide-isomerase	P4HB	P07237	8.175360376529534	3	0.00054154603	30.04380849355937	375
Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle;Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle	ACTC1;ACTA1;ACTG2;ACTA2	P68032;P68133;P63267;P62736	8.157396203899953	3	0.0091705378	69.54095228904582	2579
Synaptophysin-like protein 1	SYPL1	Q16563	8.143409066494428	3	0.0026846684	47.5805410374773	1420
Collagen alpha-1(VIII) chain;Vastatin	COL8A1	P27658	8.126885694322651	3	2.347507e-05	11.29406233200062	2523
Vesicle-associated membrane protein 3	VAMP3	Q15836;P23763	8.047114090877054	3	4.6469984e-05	13.12537305204173	1407
Calnexin	CANX	P27824	8.017374821974542	3	0.0013056103	35.09487148692621	633
Ras-related protein Rab-1A	RAB1A	P62820;Q92930;P59190	8.000603290690421	3	0.00060500001	27.51904954881417	1034
Guanine nucleotide-binding protein G(i) subunit alpha-2	GNAI2	P04899;P09471;P19087;A8MTJ3;P11488	7.906664162247491	3	0.0019144454	36.47174045243957	345
HLA class I histocompatibility antigen, A-3 alpha chain	HLA-A	P04439	7.871466686603509	3	0.00087089202	28.07922050460089	338
Endoplasmin	HSP90B1	P14625;Q58FF3	7.851629717427604	3	0.00015259824	16.39494459934417	494
Ras-related protein Rab-1B;Putative Ras-related protein Rab-1C	RAB1B;RAB1C	Q9H0U4;Q92928	7.799608167753026	3	0.00013044044	15.08476590633185	2706
Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase	PLA2G4A	P47712	7.732160381736148	3	2.8412715e-05	9.098779585385634	812
Integrin alpha-11	ITGA11	Q9UKX5	7.703037157975591	3	0.00022600824	16.64666724562359	2293
Protein disulfide-isomerase A3	PDIA3	P30101	7.658510493418766	3	0.0021980316	32.01207649144295	658
Proton myo-inositol cotransporter	SLC2A13	Q96QE2	7.654152078776608	3	3.8417413e-05	9.439301125507095	2685
Parathyroid hormone-related protein;PTHrP[1-36];PTHrP[38-94];Osteostatin	PTHLH	P12272	7.640161532050248	3	0.004740315	39.83511320377673	3289
Ras-related protein Rap-1b;Ras-related protein Rap-1A;Ras-related protein Rap-1b-like protein	RAP1B;RAP1A	P61224;P62834;A6NIZ1	7.572136158258438	3	0.0001604842	13.71391266692763	980
Fascin	FSCN1	Q16658	7.514474063194234	3	0.00015169868	12.95516906461214	1427
Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406;O14556	7.468603957099073	3	1.8835546e-05	6.697311717571155	337
Thioredoxin domain-containing protein 5	TXNDC5	Q8NBS9	7.452488711807336	3	0.00016847528	12.80845879586497	1678
Cation-dependent mannose-6-phosphate receptor	M6PR	P20645	7.449867996666778	3	0.0003719771	16.22767159063578	567
Neutral alpha-glucosidase AB	GANAB	Q14697	7.44233960739326	3	0.0012965982	23.50906039825321	1328
Serpin H1	SERPINH1	P50454	7.436933779218762	3	4.8852207e-06	4.364504992448465	860
Moesin	MSN	P26038	7.408697222284638	3	0.004323117	33.00229036327689	614
Ubiquitin-like modifier-activating enzyme 1	UBA1	P22314	7.366544575893826	3	6.689164e-05	9.138239906376409	581
Plectin	PLEC	Q15149	7.331951484497982	3	0.0011794308	21.16522505382184	1365
Type-1 angiotensin II receptor-associated protein	AGTRAP	Q6RW13	7.220122644557568	3	0.0092124827	36.36552080046376	1540
CD44 antigen	CD44	P16070	7.202115980278131	3	0.0035903552	27.04431359458052	511
Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain	ITGA5	P08648	7.179218072377486	3	0.0014376079	20.20805449344102	402
Neutral amino acid transporter B(0)	SLC1A5	Q15758	7.169770503826368	3	0.0026759286	24.20519820312974	1402
LMBR1 domain-containing protein 2	LMBRD2	Q68DH5	7.141088999864582	3	0.00027818693	12.00385300763402	2625
Unconventional myosin-Ic	MYO1C	O00159	7.134112896285215	3	0.00020633391	10.91835466648623	23
Ras-related protein Rab-5A	RAB5A	P20339	7.106630358861256	3	2.5791713e-05	5.728312936255883	564
Glypican-1;Secreted glypican-1	GPC1	P35052	7.094719260966073	3	0.000293377	11.811704977968	705
60 kDa heat shock protein, mitochondrial	HSPD1	P10809	7.068309713645604	3	0.00094971794	16.5172811878664	444
Myosin-9	MYH9	P35579;P35749;REV__Q5T655	7.038028283346724	3	0.0027407121	22.25244001259139	720
Sodium/potassium-transporting ATPase subunit alpha-1	ATP1A1	P05023;P13637;P50993;Q13733;P20648	7.024033489566762	3	0.0051945946	26.71512947934893	348
78 kDa glucose-regulated protein	HSPA5	P11021	6.999586800157966	3	3.6969737e-05	5.927538377474063	446
Catenin alpha-1	CTNNA1	P35221;Q9UI47	6.988035455381123	3	0.0010049344	15.89138670140735	706
Tropomyosin alpha-4 chain	TPM4	P67936	6.929575665770395	3	0.00021743661	9.625812965682321	1070
Secretory carrier-associated membrane protein 1	SCAMP1	O15126	6.910733442089436	3	0.00069886568	13.50224289602945	90
Myosin regulatory light chain 12A;Myosin regulatory light chain 12B	MYL12A;MYL12B	P19105;O14950	6.849194028298132	3	0.035119772	42.07075156492191	2443
Junction plakoglobin	JUP	P14923	6.848580680236214	3	0.0042590769	22.28337815710726	500
Pachytene checkpoint protein 2 homolog	TRIP13	Q15645	6.791581700708244	3	2.842042e-05	4.741068205899363	1395
Ras-related protein Rab-11A;Ras-related protein Rab-11B	RAB11A;RAB11B	P62491;Q15907	6.769423898831278	3	0.0003928128	10.2931274452089	1026
Exportin-2	CSE1L	P55060	6.741553808604854	3	0.0031134689	18.82787425994064	930
Protein disulfide-isomerase A6	PDIA6	Q15084	6.708657287071777	3	0.00033601097	9.415323377390584	1361
Myosin-10	MYH10	P35580	6.677423268777462	3	0.0090417117	24.82417618818748	721
