"Gene.names","SLMV","uid"
"A4",11,"107"
"ABCA8",40,"96"
"ABP620",37,"68"
"ACF7",37,"68"
"ACSVL1",2,"108"
"ACZ",12,"104"
"ADTB3A",42,"1"
"ANKRD26",22,"133"
"ANTXR1",45,"114"
"AP3B1",42,"1"
"AP3B2",30,"2"
"AP3D1",4,"3"
"AP3S1",4,"4"
"APBB3",13,"93"
"APG9L1",8,"122"
"ARFIP1",13,"22"
"ATG9A",8,"122"
"ATM",5,"43"
"ATP6A1",31,"38"
"ATP6B2",27,"39"
"ATP6D",6,"37"
"ATP6E",9,"40"
"ATP6E2",9,"40"
"ATP6N1",5,"36"
"ATP6N1A",5,"36"
"ATP6V0A1",5,"36"
"ATP6V0D1",6,"37"
"ATP6V1A",31,"38"
"ATP6V1A1",31,"38"
"ATP6V1B2",27,"39"
"ATP6V1E1",9,"40"
"ATR",45,"114"
"ATRC1",14,"100"
"BCL8B",17,"105"
"BLOC1S5",7,"45"
"BLOC1S6",4,"46"
"BLOC1S7",2,"47"
"BLOC1S8",4,"44"
"BP230",53,"69"
"BP240",53,"69"
"BPAG1",53,"69"
"BRWD2",4,"119"
"C17orf75",8,"83"
"C1orf3",20,"27"
"CAPN8",10,"98"
"CD92",14,"95"
"CDC42",12,"126"
"CDS",14,"90"
"CDS1",14,"90"
"CDW92",14,"95"
"CIN85",12,"42"
"CLAPS3",4,"4"
"CMYA2",16,"87"
"CS1",17,"132"
"CSNK1G1",9,"77"
"CTL1",14,"95"
"DHC1B",10,"60"
"DHC2",10,"60"
"DMH",53,"69"
"DMN",8,"67"
"DNAH17",18,"63"
"DNAH3",12,"64"
"DNAH8",17,"62"
"DNAHC3B",12,"64"
"DNAHL1",18,"63"
"DNAJC13",5,"7"
"DNALI1",17,"61"
"DNCH2",10,"60"
"DNEL2",18,"63"
"DNM2",13,"5"
"DST",53,"69"
"DT",53,"69"
"DTNBP1",4,"44"
"DYH1B",10,"60"
"DYN2",13,"5"
"DYNC2H1",10,"60"
"EDD",10,"58"
"EDD1",10,"58"
"EEA1",9,"94"
"EG5",10,"66"
"ERR",14,"100"
"FACVL1",2,"108"
"FAM91A1",36,"128"
"FATP2",2,"108"
"FE65L2",13,"93"
"GCC2",20,"86"
"GOLGA4",23,"85"
"GOV",16,"13"
"GPR158L",8,"101"
"GPR158L1",8,"101"
"GPR179",8,"101"
"GT",9,"88"
"HERC1",16,"24"
"HERC2",11,"59"
"HK2",8,"118"
"HSC70",17,"6"
"HSP73",17,"6"
"HSPA10",17,"6"
"HSPA8",17,"6"
"HYD",10,"58"
"ITPRID2",17,"132"
"JRAB",9,"125"
"KIAA0336",20,"86"
"KIAA0342",7,"131"
"KIAA0353",8,"67"
"KIAA0454",16,"87"
"KIAA0465",37,"68"
"KIAA0477",16,"87"
"KIAA0559",12,"104"
"KIAA0591",6,"65"
"KIAA0678",5,"7"
"KIAA0702",3,"111"
"KIAA0728",53,"69"
"KIAA0736",3,"32"
"KIAA0754",37,"68"
"KIAA0822",40,"96"
"KIAA0886",8,"91"
"KIAA0896",10,"58"
"KIAA0923",7,"112"
"KIAA1074",22,"133"
"KIAA1251",37,"68"
"KIAA1253",2,"53"
"KIAA1313",21,"110"
"KIAA1351",4,"119"
"KIAA1448",6,"65"
"KIAA1544",17,"105"
