so_SHORTNAME	so_NAME	so_PID	so_ratioWave	so_allTWave	int	dm_int	pe_int	intensity
TPD52L2	Tumor protein D54	O43399	565.478959192863	6.2190495e-08	DM|PE|RE	279325589.785918	201474.758712047	279325589.785918
TPD52	Tumor protein D52	P55327	282.559669878222	3.4916534e-12	DM|PE	134760809.264306	341595.874182573	134760809.264306
BASP1	Brain acid soluble protein 1	P80723	116.275775790559	6.4928099e-07	PE	46565471.5104474	5457340.43671541	46565471.5104474
SCAMP3	Secretory carrier-associated membrane protein 3	O14828	113.303181089762	4.1335066e-10	DM|PE	35038298.8909341	207767.947450991	35038298.8909341
ACTC1	Actin, alpha cardiac muscle 1	P68032	103.60012087884	0.00088316941	PE	35242758.6905493	5990130.31199707	35242758.6905493
RAB6A	Ras-related protein Rab-6A	P20340	93.4776611609332	1.2568938e-10	DM|PE	50028177.0492134	135427.667668138	50028177.0492134
SYPL1	Synaptophysin-like protein 1	Q16563	88.5634839990833	8.6952173e-10	DM	18062143.0611839	1704929.3036075	18062143.0611839
ITGB1	Integrin beta-1	P05556	88.0407946542554	2.9349423e-10	PE	23205582.1017085	3274829.12959368	23205582.1017085
AGTRAP	Type-1 angiotensin II receptor-associated protein	Q6RW13	82.9451670607144	2.2573909e-09	DM	18288931.8082002	1131717.2464629	18288931.8082002
SLC3A2	4F2 cell-surface antigen heavy chain	P08195	75.3300372386264	4.3602955e-10	PE	62046773.5090697	930388.126673615	62046773.5090697
BSG	Basigin	P35613	65.2298213586482	1.010942e-12	PE	15548142.8573616	1030317.50352537	15548142.8573616
HLA-C	HLA class I histocompatibility antigen, Cw-7 alpha chain	P10321	54.2352960205685	2.4166705e-10	PE	13463012.7037733	579612.863866886	13463012.7037733
TFRC	Transferrin receptor protein 1	P02786	49.2649086089426	1.2409468e-08	PE	18551078.330873	654305.48597595	18551078.330873
AHNAK	Neuroblast differentiation-associated protein AHNAK	Q09666	48.73991012577	1.4670187e-05	PE	8638664.98801478	1744137.93180728	8638664.98801478
CALR	Calreticulin	P27797	48.1618737254637	5.8597127e-08	PE	25606669.3665471	227848.142353019	25606669.3665471
ANXA2	Annexin A2	P07355	46.2502527932087	9.1408126e-09	PE	11918960.3466214	33119.4377390163	11918960.3466214
EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	O43854	44.6135798835648	6.6428432e-11	DM|PE	11125571.102024	161055.36906785	11125571.102024
SYNGR2	Synaptogyrin-2	O43760	43.9388299054087	5.6519447e-08	DM|PE	12380618.6357101	910603.120735471	12380618.6357101
RAB1B	Ras-related protein Rab-1B	Q9H0U4	42.8772297079613	1.5047021e-08	DM|PE	9030619.25644533	708755.36848656	9030619.25644533
SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	P11166	39.2352487053551	4.6199894e-10	PE	18104290.2198838	936692.814570109	18104290.2198838
GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	P04899	38.2901503262357	1.9636261e-10	PE	7773519.68159425	129135.313441222	7773519.68159425
PTHLH	Parathyroid hormone-related protein	P12272	37.5980341987041	0.0041862172	PE	8072647.59912184	2798886.63314652	8072647.59912184
RAB1A	Ras-related protein Rab-1A	P62820	37.1769696015683	2.8809351e-05	DM|PE	8442580.48196746	641647.257609553	8442580.48196746
SLC7A5	Large neutral amino acids transporter small subunit 1	Q01650	37.0730320893551	1.0999084e-07	PE	6414932.51972103	811787.056056552	6414932.51972103
CD44	CD44 antigen	P16070	35.027326811139	3.341866e-10	PE	17734148.3327042	646179.172162321	17734148.3327042
ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	P05023	34.5888076554283	1.1719896e-08	PE	6265469.96650753	554242.099192241	6265469.96650753
