so_NAME	so_SHORTNAME	so_PID	so_productWave	so_colorWave	so_allTWave	so_ratioWave	so_keyW
Tumor protein D54	TPD52L2	O43399	6.85355788587934	3	0.00099884067	14.45056611217627	35
7-dehydrocholesterol reductase	DHCR7	Q9UBM7	5.891522905403534	3	0.0017954512	8.850116353698521	2020
Collagen alpha-1(VIII) chain;Vastatin	COL8A1	P27658	5.837640206206057	3	0.001504897	8.084434666136703	271
Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E	HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AC;HIST3H2A;HIST1H2AB	Q99878;Q96KK5;Q9BTM1;Q16777;Q6FI13;P20671;P0C0S8;Q93077;Q7L7L0;P04908;Q71UI9;P0C0S5	5.736799122683244	3	0.030490151	18.64812547163738	166
Sterol O-acyltransferase 1	SOAT1	P35610	5.368973518131096	3	0.00033071727	3.70232201578949	1300
Myosin-9	MYH9	P35579;REV__Q5T655;REV__Q9UKV3;P12883;P13535;Q9UKX3;Q9Y623;P13533;P12882;P11055;Q9UKX2;A7E2Y1	5.156308657890609	3	0.044956129	14.01692064219464	318
Serine protease HTRA1	HTRA1	Q92743	4.915322208398852	3	0.010916923	7.745844026797212	1756
Tropomyosin alpha-3 chain	TPM3	P06753	4.718970591552157	3	0.0094533395	6.473544309173589	136
Tropomyosin alpha-4 chain	TPM4	P67936;Q2TAC2	4.658407231187926	3	0.012559323	6.761641242349876	514
ER lumen protein-retaining receptor 1	KDELR1	P24390	4.386521772834254	3	0.011340162	5.430710528995848	1244
Histone deacetylase 10	HDAC10	Q969S8	3.956779447218803	3	0.016739046	4.533138155304181	771
Unconventional myosin-Ie	MYO1E	Q12965;O00160	3.755650500108178	3	0.025895061	4.496702529821047	579
Tropomodulin-3	TMOD3	Q9NYL9;Q9NZR1	3.718409921066165	3	0.036125094	4.84406732474741	883
Lipocalin-1	LCN1	P31025;Q5VSP4	3.403019162186975	3	0.047889154	4.237626207887392	295
L-lactate dehydrogenase A chain	LDHA	P00338	3.058124532793979	3	0.030259149	2.90589221122879	1100
Spliceosome RNA helicase DDX39B	DDX39B	Q13838	2.812019664673688	3	0.034549326	2.549932921620512	1512
Actin-related protein 2/3 complex subunit 3	ARPC3	O15145	2.696281701282267	3	0.024807962	2.130028589113382	25
Desmoplakin	DSP	P15924	2.691861555213293	3	0.024754532	2.122134739392212	209
